Epoch 001 | Loss: 0.3571 | Val [MAE: 0.3986 | MSE: 0.1596 | R2: 0.0145 | MedAE: 0.3897] | Best MAE: 0.3986 | LR: 1.04e-04 | Pat: 0/30
Epoch 002 | Loss: 0.3533 | Val [MAE: 0.3936 | MSE: 0.1559 | R2: 0.0385 | MedAE: 0.3883] | Best MAE: 0.3936 | LR: 2.03e-04 | Pat: 0/30
Epoch 003 | Loss: 0.3573 | Val [MAE: 0.3895 | MSE: 0.1516 | R2: 0.0616 | MedAE: 0.3843] | Best MAE: 0.3895 | LR: 3.02e-04 | Pat: 0/30
Epoch 004 | Loss: 0.3550 | Val [MAE: 0.3883 | MSE: 0.1526 | R2: 0.0690 | MedAE: 0.3830] | Best MAE: 0.3883 | LR: 4.01e-04 | Pat: 0/30
Epoch 005 | Loss: 0.3529 | Val [MAE: 0.3974 | MSE: 0.1574 | R2: 0.0141 | MedAE: 0.3884] | Best MAE: 0.3883 | LR: 5.00e-04 | Pat: 1/30
Epoch 006 | Loss: 0.3528 | Val [MAE: 0.3933 | MSE: 0.1556 | R2: 0.0357 | MedAE: 0.3875] | Best MAE: 0.3883 | LR: 5.00e-04 | Pat: 2/30
Epoch 007 | Loss: 0.3497 | Val [MAE: 0.3948 | MSE: 0.1566 | R2: 0.0384 | MedAE: 0.3895] | Best MAE: 0.3883 | LR: 5.00e-04 | Pat: 3/30
Epoch 008 | Loss: 0.3475 | Val [MAE: 0.3974 | MSE: 0.1572 | R2: 0.0244 | MedAE: 0.3835] | Best MAE: 0.3883 | LR: 5.00e-04 | Pat: 4/30
Epoch 009 | Loss: 0.3464 | Val [MAE: 0.3949 | MSE: 0.1565 | R2: 0.0335 | MedAE: 0.3887] | Best MAE: 0.3883 | LR: 4.99e-04 | Pat: 5/30
Epoch 010 | Loss: 0.3428 | Val [MAE: 0.3913 | MSE: 0.1519 | R2: 0.0542 | MedAE: 0.3846] | Best MAE: 0.3883 | LR: 4.99e-04 | Pat: 6/30
Epoch 011 | Loss: 0.3425 | Val [MAE: 0.3925 | MSE: 0.1518 | R2: 0.0438 | MedAE: 0.3868] | Best MAE: 0.3883 | LR: 4.99e-04 | Pat: 7/30
Epoch 012 | Loss: 0.3398 | Val [MAE: 0.3930 | MSE: 0.1546 | R2: 0.0466 | MedAE: 0.3830] | Best MAE: 0.3883 | LR: 4.98e-04 | Pat: 8/30
Epoch 013 | Loss: 0.3380 | Val [MAE: 0.3874 | MSE: 0.1493 | R2: 0.0681 | MedAE: 0.3802] | Best MAE: 0.3874 | LR: 4.98e-04 | Pat: 0/30
Epoch 014 | Loss: 0.3364 | Val [MAE: 0.3873 | MSE: 0.1510 | R2: 0.0673 | MedAE: 0.3792] | Best MAE: 0.3873 | LR: 4.97e-04 | Pat: 0/30
Epoch 015 | Loss: 0.3326 | Val [MAE: 0.3904 | MSE: 0.1541 | R2: 0.0556 | MedAE: 0.3831] | Best MAE: 0.3873 | LR: 4.97e-04 | Pat: 1/30
Epoch 016 | Loss: 0.3324 | Val [MAE: 0.3859 | MSE: 0.1479 | R2: 0.0720 | MedAE: 0.3773] | Best MAE: 0.3859 | LR: 4.96e-04 | Pat: 0/30
Epoch 017 | Loss: 0.3300 | Val [MAE: 0.3842 | MSE: 0.1478 | R2: 0.0904 | MedAE: 0.3724] | Best MAE: 0.3842 | LR: 4.95e-04 | Pat: 0/30
Epoch 018 | Loss: 0.3269 | Val [MAE: 0.3855 | MSE: 0.1493 | R2: 0.0847 | MedAE: 0.3740] | Best MAE: 0.3842 | LR: 4.95e-04 | Pat: 1/30
Epoch 019 | Loss: 0.3266 | Val [MAE: 0.3867 | MSE: 0.1487 | R2: 0.0793 | MedAE: 0.3798] | Best MAE: 0.3842 | LR: 4.94e-04 | Pat: 2/30
Epoch 020 | Loss: 0.3247 | Val [MAE: 0.3809 | MSE: 0.1464 | R2: 0.0898 | MedAE: 0.3732] | Best MAE: 0.3809 | LR: 4.93e-04 | Pat: 0/30
Epoch 021 | Loss: 0.3217 | Val [MAE: 0.3813 | MSE: 0.1438 | R2: 0.0989 | MedAE: 0.3727] | Best MAE: 0.3809 | LR: 4.92e-04 | Pat: 1/30
Epoch 022 | Loss: 0.3221 | Val [MAE: 0.3823 | MSE: 0.1468 | R2: 0.0992 | MedAE: 0.3739] | Best MAE: 0.3809 | LR: 4.91e-04 | Pat: 2/30
