Epoch 033 | Loss: 0.2981 | Val [MAE: 0.3522 | MSE: 0.1238 | R2: 0.2224 | MedAE: 0.3393] | Best MAE: 0.3522 | LR: 4.75e-04 | Pat: 0/30
Epoch 034 | Loss: 0.2959 | Val [MAE: 0.3549 | MSE: 0.1255 | R2: 0.2097 | MedAE: 0.3434] | Best MAE: 0.3522 | LR: 4.73e-04 | Pat: 1/30
Epoch 035 | Loss: 0.2921 | Val [MAE: 0.3494 | MSE: 0.1222 | R2: 0.2406 | MedAE: 0.3433] | Best MAE: 0.3494 | LR: 4.71e-04 | Pat: 0/30
Epoch 036 | Loss: 0.2891 | Val [MAE: 0.3438 | MSE: 0.1182 | R2: 0.2628 | MedAE: 0.3366] | Best MAE: 0.3438 | LR: 4.70e-04 | Pat: 0/30
Epoch 037 | Loss: 0.2884 | Val [MAE: 0.3435 | MSE: 0.1183 | R2: 0.2634 | MedAE: 0.3356] | Best MAE: 0.3435 | LR: 4.68e-04 | Pat: 0/30
Epoch 038 | Loss: 0.2859 | Val [MAE: 0.3406 | MSE: 0.1174 | R2: 0.2692 | MedAE: 0.3309] | Best MAE: 0.3406 | LR: 4.66e-04 | Pat: 0/30
Epoch 039 | Loss: 0.2847 | Val [MAE: 0.3403 | MSE: 0.1142 | R2: 0.2770 | MedAE: 0.3330] | Best MAE: 0.3403 | LR: 4.63e-04 | Pat: 0/30
Epoch 040 | Loss: 0.2822 | Val [MAE: 0.3401 | MSE: 0.1170 | R2: 0.2699 | MedAE: 0.3321] | Best MAE: 0.3401 | LR: 4.61e-04 | Pat: 0/30
Epoch 041 | Loss: 0.2787 | Val [MAE: 0.3367 | MSE: 0.1131 | R2: 0.2990 | MedAE: 0.3261] | Best MAE: 0.3367 | LR: 4.59e-04 | Pat: 0/30
Epoch 042 | Loss: 0.2764 | Val [MAE: 0.3308 | MSE: 0.1082 | R2: 0.3155 | MedAE: 0.3243] | Best MAE: 0.3308 | LR: 4.57e-04 | Pat: 0/30
Epoch 043 | Loss: 0.2746 | Val [MAE: 0.3307 | MSE: 0.1092 | R2: 0.3176 | MedAE: 0.3181] | Best MAE: 0.3307 | LR: 4.55e-04 | Pat: 0/30
Epoch 044 | Loss: 0.2719 | Val [MAE: 0.3263 | MSE: 0.1066 | R2: 0.3341 | MedAE: 0.3168] | Best MAE: 0.3263 | LR: 4.52e-04 | Pat: 0/30
Epoch 045 | Loss: 0.2696 | Val [MAE: 0.3253 | MSE: 0.1069 | R2: 0.3309 | MedAE: 0.3162] | Best MAE: 0.3253 | LR: 4.50e-04 | Pat: 0/30
Epoch 046 | Loss: 0.2658 | Val [MAE: 0.3210 | MSE: 0.1020 | R2: 0.3490 | MedAE: 0.3103] | Best MAE: 0.3210 | LR: 4.48e-04 | Pat: 0/30
Epoch 047 | Loss: 0.2623 | Val [MAE: 0.3162 | MSE: 0.1002 | R2: 0.3751 | MedAE: 0.3096] | Best MAE: 0.3162 | LR: 4.45e-04 | Pat: 0/30
Epoch 048 | Loss: 0.2600 | Val [MAE: 0.3143 | MSE: 0.0989 | R2: 0.3899 | MedAE: 0.3004] | Best MAE: 0.3143 | LR: 4.42e-04 | Pat: 0/30
Epoch 049 | Loss: 0.2568 | Val [MAE: 0.3105 | MSE: 0.0947 | R2: 0.3918 | MedAE: 0.3044] | Best MAE: 0.3105 | LR: 4.40e-04 | Pat: 0/30
Epoch 050 | Loss: 0.2546 | Val [MAE: 0.3073 | MSE: 0.0932 | R2: 0.4064 | MedAE: 0.2968] | Best MAE: 0.3073 | LR: 4.37e-04 | Pat: 0/30
Epoch 051 | Loss: 0.2533 | Val [MAE: 0.3027 | MSE: 0.0922 | R2: 0.4272 | MedAE: 0.2880] | Best MAE: 0.3027 | LR: 4.35e-04 | Pat: 0/30
Epoch 052 | Loss: 0.2506 | Val [MAE: 0.2994 | MSE: 0.0904 | R2: 0.4312 | MedAE: 0.2930] | Best MAE: 0.2994 | LR: 4.32e-04 | Pat: 0/30
Epoch 053 | Loss: 0.2477 | Val [MAE: 0.2987 | MSE: 0.0903 | R2: 0.4338 | MedAE: 0.2867] | Best MAE: 0.2987 | LR: 4.29e-04 | Pat: 0/30
Epoch 054 | Loss: 0.2460 | Val [MAE: 0.2944 | MSE: 0.0872 | R2: 0.4564 | MedAE: 0.2796] | Best MAE: 0.2944 | LR: 4.26e-04 | Pat: 0/30
Epoch 055 | Loss: 0.2428 | Val [MAE: 0.2910 | MSE: 0.0851 | R2: 0.4705 | MedAE: 0.2760] | Best MAE: 0.2910 | LR: 4.23e-04 | Pat: 0/30
Epoch 056 | Loss: 0.2404 | Val [MAE: 0.2900 | MSE: 0.0842 | R2: 0.4723 | MedAE: 0.2816] | Best MAE: 0.2900 | LR: 4.20e-04 | Pat: 0/30
Epoch 057 | Loss: 0.2385 | Val [MAE: 0.2858 | MSE: 0.0829 | R2: 0.4973 | MedAE: 0.2745] | Best MAE: 0.2858 | LR: 4.17e-04 | Pat: 0/30
Epoch 058 | Loss: 0.2362 | Val [MAE: 0.2858 | MSE: 0.0808 | R2: 0.4888 | MedAE: 0.2713] | Best MAE: 0.2858 | LR: 4.14e-04 | Pat: 0/30
Epoch 059 | Loss: 0.2332 | Val [MAE: 0.2831 | MSE: 0.0800 | R2: 0.5008 | MedAE: 0.2719] | Best MAE: 0.2831 | LR: 4.11e-04 | Pat: 0/30
Epoch 060 | Loss: 0.2305 | Val [MAE: 0.2799 | MSE: 0.0787 | R2: 0.5182 | MedAE: 0.2662] | Best MAE: 0.2799 | LR: 4.08e-04 | Pat: 0/30
Epoch 061 | Loss: 0.2276 | Val [MAE: 0.2775 | MSE: 0.0754 | R2: 0.5273 | MedAE: 0.2655] | Best MAE: 0.2775 | LR: 4.05e-04 | Pat: 0/30
Epoch 062 | Loss: 0.2254 | Val [MAE: 0.2752 | MSE: 0.0770 | R2: 0.5187 | MedAE: 0.2698] | Best MAE: 0.2752 | LR: 4.02e-04 | Pat: 0/30
Epoch 063 | Loss: 0.2235 | Val [MAE: 0.2714 | MSE: 0.0729 | R2: 0.5377 | MedAE: 0.2630] | Best MAE: 0.2714 | LR: 3.99e-04 | Pat: 0/30
Epoch 064 | Loss: 0.2219 | Val [MAE: 0.2695 | MSE: 0.0725 | R2: 0.5520 | MedAE: 0.2555] | Best MAE: 0.2695 | LR: 3.96e-04 | Pat: 0/30
Epoch 065 | Loss: 0.2200 | Val [MAE: 0.2693 | MSE: 0.0747 | R2: 0.5400 | MedAE: 0.2596] | Best MAE: 0.2693 | LR: 3.92e-04 | Pat: 0/30
Epoch 066 | Loss: 0.2169 | Val [MAE: 0.2662 | MSE: 0.0700 | R2: 0.5526 | MedAE: 0.2568] | Best MAE: 0.2662 | LR: 3.89e-04 | Pat: 0/30
Epoch 067 | Loss: 0.2143 | Val [MAE: 0.2639 | MSE: 0.0691 | R2: 0.5583 | MedAE: 0.2558] | Best MAE: 0.2639 | LR: 3.86e-04 | Pat: 0/30
Epoch 068 | Loss: 0.2115 | Val [MAE: 0.2629 | MSE: 0.0707 | R2: 0.5612 | MedAE: 0.2563] | Best MAE: 0.2629 | LR: 3.82e-04 | Pat: 0/30
Epoch 069 | Loss: 0.2089 | Val [MAE: 0.2612 | MSE: 0.0672 | R2: 0.5679 | MedAE: 0.2495] | Best MAE: 0.2612 | LR: 3.79e-04 | Pat: 0/30
Epoch 070 | Loss: 0.2064 | Val [MAE: 0.2600 | MSE: 0.0672 | R2: 0.5783 | MedAE: 0.2511] | Best MAE: 0.2600 | LR: 3.75e-04 | Pat: 0/30
Epoch 071 | Loss: 0.2039 | Val [MAE: 0.2592 | MSE: 0.0677 | R2: 0.5865 | MedAE: 0.2454] | Best MAE: 0.2592 | LR: 3.72e-04 | Pat: 0/30
Epoch 072 | Loss: 0.2017 | Val [MAE: 0.2577 | MSE: 0.0669 | R2: 0.5925 | MedAE: 0.2523] | Best MAE: 0.2577 | LR: 3.68e-04 | Pat: 0/30
Epoch 073 | Loss: 0.1992 | Val [MAE: 0.2558 | MSE: 0.0660 | R2: 0.5912 | MedAE: 0.2420] | Best MAE: 0.2558 | LR: 3.65e-04 | Pat: 0/30
