Epoch 001 | Loss: 0.3679 | Val [MAE: 0.4003 | MSE: 0.1591 | R2: 0.0251 | MedAE: 0.3942] | Best MAE: 0.4003 | LR: 1.04e-04 | Pat: 0/30
Epoch 002 | Loss: 0.3593 | Val [MAE: 0.3979 | MSE: 0.1587 | R2: 0.0471 | MedAE: 0.3846] | Best MAE: 0.3979 | LR: 2.03e-04 | Pat: 0/30
Epoch 003 | Loss: 0.3597 | Val [MAE: 0.3983 | MSE: 0.1601 | R2: 0.0394 | MedAE: 0.3900] | Best MAE: 0.3979 | LR: 3.02e-04 | Pat: 1/30
Epoch 004 | Loss: 0.3612 | Val [MAE: 0.3974 | MSE: 0.1576 | R2: 0.0392 | MedAE: 0.3853] | Best MAE: 0.3974 | LR: 4.01e-04 | Pat: 0/30
Epoch 005 | Loss: 0.3567 | Val [MAE: 0.3967 | MSE: 0.1566 | R2: 0.0382 | MedAE: 0.3865] | Best MAE: 0.3967 | LR: 5.00e-04 | Pat: 0/30
Epoch 006 | Loss: 0.3564 | Val [MAE: 0.3954 | MSE: 0.1559 | R2: 0.0445 | MedAE: 0.3902] | Best MAE: 0.3954 | LR: 5.00e-04 | Pat: 0/30
Epoch 007 | Loss: 0.3554 | Val [MAE: 0.3950 | MSE: 0.1560 | R2: 0.0385 | MedAE: 0.3897] | Best MAE: 0.3950 | LR: 5.00e-04 | Pat: 0/30
Epoch 008 | Loss: 0.3548 | Val [MAE: 0.3917 | MSE: 0.1531 | R2: 0.0680 | MedAE: 0.3798] | Best MAE: 0.3917 | LR: 5.00e-04 | Pat: 0/30
Epoch 009 | Loss: 0.3548 | Val [MAE: 0.3932 | MSE: 0.1539 | R2: 0.0572 | MedAE: 0.3852] | Best MAE: 0.3917 | LR: 4.99e-04 | Pat: 1/30
Epoch 010 | Loss: 0.3517 | Val [MAE: 0.3925 | MSE: 0.1529 | R2: 0.0650 | MedAE: 0.3844] | Best MAE: 0.3917 | LR: 4.99e-04 | Pat: 2/30
Epoch 011 | Loss: 0.3491 | Val [MAE: 0.3921 | MSE: 0.1540 | R2: 0.0670 | MedAE: 0.3855] | Best MAE: 0.3917 | LR: 4.99e-04 | Pat: 3/30
Epoch 012 | Loss: 0.3464 | Val [MAE: 0.3897 | MSE: 0.1513 | R2: 0.0707 | MedAE: 0.3747] | Best MAE: 0.3897 | LR: 4.98e-04 | Pat: 0/30
Epoch 013 | Loss: 0.3446 | Val [MAE: 0.3892 | MSE: 0.1500 | R2: 0.0829 | MedAE: 0.3817] | Best MAE: 0.3892 | LR: 4.98e-04 | Pat: 0/30
Epoch 014 | Loss: 0.3416 | Val [MAE: 0.3849 | MSE: 0.1489 | R2: 0.0946 | MedAE: 0.3700] | Best MAE: 0.3849 | LR: 4.97e-04 | Pat: 0/30
Epoch 015 | Loss: 0.3395 | Val [MAE: 0.3881 | MSE: 0.1496 | R2: 0.0779 | MedAE: 0.3800] | Best MAE: 0.3849 | LR: 4.97e-04 | Pat: 1/30
Epoch 016 | Loss: 0.3379 | Val [MAE: 0.3889 | MSE: 0.1512 | R2: 0.0772 | MedAE: 0.3813] | Best MAE: 0.3849 | LR: 4.96e-04 | Pat: 2/30
Epoch 017 | Loss: 0.3366 | Val [MAE: 0.3862 | MSE: 0.1496 | R2: 0.0905 | MedAE: 0.3770] | Best MAE: 0.3849 | LR: 4.95e-04 | Pat: 3/30
Epoch 018 | Loss: 0.3355 | Val [MAE: 0.3848 | MSE: 0.1485 | R2: 0.0963 | MedAE: 0.3746] | Best MAE: 0.3848 | LR: 4.95e-04 | Pat: 0/30
Epoch 019 | Loss: 0.3347 | Val [MAE: 0.3804 | MSE: 0.1460 | R2: 0.1187 | MedAE: 0.3717] | Best MAE: 0.3804 | LR: 4.94e-04 | Pat: 0/30
Epoch 020 | Loss: 0.3320 | Val [MAE: 0.3861 | MSE: 0.1494 | R2: 0.1019 | MedAE: 0.3789] | Best MAE: 0.3804 | LR: 4.93e-04 | Pat: 1/30
Epoch 021 | Loss: 0.3292 | Val [MAE: 0.3779 | MSE: 0.1424 | R2: 0.1282 | MedAE: 0.3716] | Best MAE: 0.3779 | LR: 4.92e-04 | Pat: 0/30
Epoch 022 | Loss: 0.3285 | Val [MAE: 0.3821 | MSE: 0.1459 | R2: 0.1235 | MedAE: 0.3746] | Best MAE: 0.3779 | LR: 4.91e-04 | Pat: 1/30
Epoch 023 | Loss: 0.3258 | Val [MAE: 0.3814 | MSE: 0.1445 | R2: 0.1171 | MedAE: 0.3714] | Best MAE: 0.3779 | LR: 4.90e-04 | Pat: 2/30
Epoch 024 | Loss: 0.3231 | Val [MAE: 0.3796 | MSE: 0.1440 | R2: 0.1249 | MedAE: 0.3740] | Best MAE: 0.3779 | LR: 4.88e-04 | Pat: 3/30
