Epoch 001 | Loss: 2.3044 | Val [MAE: 2.4336 | MSE: 6.5107 | R2: 0.0612 | MedAE: 2.0667] | Best MAE: 2.4336 | LR: 3.40e-04 | Pat: 0/5
Epoch 002 | Loss: 2.2608 | Val [MAE: 2.4148 | MSE: 6.4110 | R2: 0.0663 | MedAE: 2.0520] | Best MAE: 2.4148 | LR: 6.70e-04 | Pat: 0/5
Epoch 003 | Loss: 2.2623 | Val [MAE: 2.3890 | MSE: 6.2788 | R2: 0.0835 | MedAE: 2.0288] | Best MAE: 2.3890 | LR: 1.00e-03 | Pat: 0/5
Epoch 004 | Loss: 2.2100 | Val [MAE: 2.3418 | MSE: 6.0245 | R2: 0.1208 | MedAE: 1.9844] | Best MAE: 2.3418 | LR: 9.98e-04 | Pat: 0/5
Epoch 005 | Loss: 2.1422 | Val [MAE: 2.2980 | MSE: 5.8067 | R2: 0.1549 | MedAE: 1.9521] | Best MAE: 2.2980 | LR: 9.90e-04 | Pat: 0/5
Epoch 006 | Loss: 2.0684 | Val [MAE: 2.2403 | MSE: 5.5133 | R2: 0.1874 | MedAE: 1.9106] | Best MAE: 2.2403 | LR: 9.78e-04 | Pat: 0/5
Epoch 007 | Loss: 1.9790 | Val [MAE: 2.1631 | MSE: 5.1393 | R2: 0.2427 | MedAE: 1.8370] | Best MAE: 2.1631 | LR: 9.62e-04 | Pat: 0/5
Epoch 008 | Loss: 1.8889 | Val [MAE: 2.0598 | MSE: 4.6855 | R2: 0.3126 | MedAE: 1.7510] | Best MAE: 2.0598 | LR: 9.41e-04 | Pat: 0/5
Epoch 009 | Loss: 1.7877 | Val [MAE: 1.9650 | MSE: 4.2401 | R2: 0.3823 | MedAE: 1.6638] | Best MAE: 1.9650 | LR: 9.16e-04 | Pat: 0/5
Epoch 010 | Loss: 1.6851 | Val [MAE: 1.8440 | MSE: 3.7396 | R2: 0.4552 | MedAE: 1.5553] | Best MAE: 1.8440 | LR: 8.87e-04 | Pat: 0/5
Epoch 011 | Loss: 1.5765 | Val [MAE: 1.7165 | MSE: 3.2438 | R2: 0.5232 | MedAE: 1.4640] | Best MAE: 1.7165 | LR: 8.54e-04 | Pat: 0/5
Epoch 012 | Loss: 1.4676 | Val [MAE: 1.5899 | MSE: 2.7794 | R2: 0.6083 | MedAE: 1.3438] | Best MAE: 1.5899 | LR: 8.17e-04 | Pat: 0/5
Epoch 013 | Loss: 1.3688 | Val [MAE: 1.4646 | MSE: 2.3497 | R2: 0.6532 | MedAE: 1.2421] | Best MAE: 1.4646 | LR: 7.78e-04 | Pat: 0/5
Epoch 014 | Loss: 1.2781 | Val [MAE: 1.3472 | MSE: 1.9872 | R2: 0.7055 | MedAE: 1.1429] | Best MAE: 1.3472 | LR: 7.36e-04 | Pat: 0/5
Epoch 015 | Loss: 1.1945 | Val [MAE: 1.2449 | MSE: 1.7167 | R2: 0.7465 | MedAE: 1.0655] | Best MAE: 1.2449 | LR: 6.92e-04 | Pat: 0/5
