Epoch 001 | Loss: 27.3582 | Val [MAE: 28.4181 | MSE: 889.1847 | R2: 0.0550 | MedAE: 23.7738] | Best MAE: 28.4181 | LR: 3.40e-04 | Pat: 0/5
Epoch 002 | Loss: 26.9815 | Val [MAE: 28.3339 | MSE: 885.8826 | R2: 0.0645 | MedAE: 24.1823] | Best MAE: 28.3339 | LR: 6.70e-04 | Pat: 0/5
Epoch 003 | Loss: 26.9650 | Val [MAE: 28.0314 | MSE: 860.7617 | R2: 0.0729 | MedAE: 23.9941] | Best MAE: 28.0314 | LR: 1.00e-03 | Pat: 0/5
Epoch 004 | Loss: 26.5090 | Val [MAE: 27.7066 | MSE: 843.0023 | R2: 0.1020 | MedAE: 23.2648] | Best MAE: 27.7066 | LR: 9.98e-04 | Pat: 0/5
Epoch 005 | Loss: 25.9086 | Val [MAE: 26.9403 | MSE: 798.2110 | R2: 0.1457 | MedAE: 22.8613] | Best MAE: 26.9403 | LR: 9.90e-04 | Pat: 0/5
Epoch 006 | Loss: 25.2122 | Val [MAE: 26.6618 | MSE: 780.3867 | R2: 0.1673 | MedAE: 22.4343] | Best MAE: 26.6618 | LR: 9.78e-04 | Pat: 0/5
Epoch 007 | Loss: 24.4570 | Val [MAE: 26.0719 | MSE: 747.4212 | R2: 0.1913 | MedAE: 21.7360] | Best MAE: 26.0719 | LR: 9.62e-04 | Pat: 0/5
Epoch 008 | Loss: 23.6929 | Val [MAE: 24.7968 | MSE: 680.0909 | R2: 0.2845 | MedAE: 20.9945] | Best MAE: 24.7968 | LR: 9.41e-04 | Pat: 0/5
Epoch 009 | Loss: 22.8361 | Val [MAE: 23.7893 | MSE: 619.6725 | R2: 0.3294 | MedAE: 20.3092] | Best MAE: 23.7893 | LR: 9.16e-04 | Pat: 0/5
Epoch 010 | Loss: 21.9004 | Val [MAE: 22.5789 | MSE: 560.0322 | R2: 0.3930 | MedAE: 19.2248] | Best MAE: 22.5789 | LR: 8.87e-04 | Pat: 0/5
Epoch 011 | Loss: 20.8756 | Val [MAE: 21.2877 | MSE: 497.7991 | R2: 0.4558 | MedAE: 17.9636] | Best MAE: 21.2877 | LR: 8.54e-04 | Pat: 0/5
Epoch 012 | Loss: 19.9031 | Val [MAE: 20.1204 | MSE: 445.9043 | R2: 0.5251 | MedAE: 17.0419] | Best MAE: 20.1204 | LR: 8.17e-04 | Pat: 0/5
Epoch 013 | Loss: 18.9644 | Val [MAE: 19.0321 | MSE: 396.7690 | R2: 0.5726 | MedAE: 16.1259] | Best MAE: 19.0321 | LR: 7.78e-04 | Pat: 0/5
Epoch 014 | Loss: 18.1312 | Val [MAE: 17.9830 | MSE: 357.6303 | R2: 0.6253 | MedAE: 15.2598] | Best MAE: 17.9830 | LR: 7.36e-04 | Pat: 0/5
Epoch 015 | Loss: 17.3674 | Val [MAE: 17.0873 | MSE: 323.8326 | R2: 0.6560 | MedAE: 14.5769] | Best MAE: 17.0873 | LR: 6.92e-04 | Pat: 0/5
Epoch 016 | Loss: 16.7136 | Val [MAE: 16.3839 | MSE: 296.3233 | R2: 0.6954 | MedAE: 13.9597] | Best MAE: 16.3839 | LR: 6.45e-04 | Pat: 0/5
Epoch 017 | Loss: 16.1731 | Val [MAE: 15.8139 | MSE: 274.7905 | R2: 0.7169 | MedAE: 13.3801] | Best MAE: 15.8139 | LR: 5.98e-04 | Pat: 0/5
Epoch 018 | Loss: 15.7173 | Val [MAE: 15.3551 | MSE: 261.1377 | R2: 0.7361 | MedAE: 12.7984] | Best MAE: 15.3551 | LR: 5.49e-04 | Pat: 0/5
Epoch 019 | Loss: 15.3361 | Val [MAE: 15.0113 | MSE: 248.1213 | R2: 0.7217 | MedAE: 12.7150] | Best MAE: 15.0113 | LR: 5.01e-04 | Pat: 0/5
Epoch 020 | Loss: 15.0245 | Val [MAE: 14.7849 | MSE: 242.4354 | R2: 0.7510 | MedAE: 12.4012] | Best MAE: 14.7849 | LR: 4.52e-04 | Pat: 0/5
Epoch 021 | Loss: 14.7708 | Val [MAE: 14.5884 | MSE: 234.1728 | R2: 0.7450 | MedAE: 12.1776] | Best MAE: 14.5884 | LR: 4.03e-04 | Pat: 0/5
Epoch 022 | Loss: 14.5751 | Val [MAE: 14.4182 | MSE: 229.1964 | R2: 0.7447 | MedAE: 12.1662] | Best MAE: 14.4182 | LR: 3.56e-04 | Pat: 0/5
Epoch 023 | Loss: 14.4193 | Val [MAE: 14.3437 | MSE: 226.6018 | R2: 0.7625 | MedAE: 12.1121] | Best MAE: 14.3437 | LR: 3.09e-04 | Pat: 0/5
