Epoch 001 | Loss: 0.5670 | Val [AP: 0.2336 | AUPRC: 0.2307 | AUROC: 0.5772 | F1: 0.1115 | ACCURACY: 0.0946] | Best AP: 0.2336 | LR: 1.04e-04 | Pat: 0/30
Epoch 002 | Loss: 0.5544 | Val [AP: 0.2384 | AUPRC: 0.2368 | AUROC: 0.5763 | F1: 0.1209 | ACCURACY: 0.1004] | Best AP: 0.2384 | LR: 2.03e-04 | Pat: 0/30
Epoch 003 | Loss: 0.5548 | Val [AP: 0.2371 | AUPRC: 0.2322 | AUROC: 0.5744 | F1: 0.1188 | ACCURACY: 0.1024] | Best AP: 0.2384 | LR: 3.02e-04 | Pat: 1/30
Epoch 004 | Loss: 0.5577 | Val [AP: 0.2400 | AUPRC: 0.2381 | AUROC: 0.5704 | F1: 0.1173 | ACCURACY: 0.0912] | Best AP: 0.2400 | LR: 4.01e-04 | Pat: 0/30
Epoch 005 | Loss: 0.5525 | Val [AP: 0.2431 | AUPRC: 0.2382 | AUROC: 0.5772 | F1: 0.1236 | ACCURACY: 0.0948] | Best AP: 0.2431 | LR: 5.00e-04 | Pat: 0/30
Epoch 006 | Loss: 0.5510 | Val [AP: 0.2459 | AUPRC: 0.2444 | AUROC: 0.5787 | F1: 0.1231 | ACCURACY: 0.0941] | Best AP: 0.2459 | LR: 5.00e-04 | Pat: 0/30
Epoch 007 | Loss: 0.5487 | Val [AP: 0.2508 | AUPRC: 0.2458 | AUROC: 0.5827 | F1: 0.1185 | ACCURACY: 0.0959] | Best AP: 0.2508 | LR: 5.00e-04 | Pat: 0/30
Epoch 008 | Loss: 0.5440 | Val [AP: 0.2497 | AUPRC: 0.2472 | AUROC: 0.5804 | F1: 0.1277 | ACCURACY: 0.0933] | Best AP: 0.2508 | LR: 5.00e-04 | Pat: 1/30
Epoch 009 | Loss: 0.5438 | Val [AP: 0.2523 | AUPRC: 0.2480 | AUROC: 0.5839 | F1: 0.1174 | ACCURACY: 0.1024] | Best AP: 0.2523 | LR: 4.99e-04 | Pat: 0/30
Epoch 010 | Loss: 0.5422 | Val [AP: 0.2460 | AUPRC: 0.2450 | AUROC: 0.5785 | F1: 0.1210 | ACCURACY: 0.0938] | Best AP: 0.2523 | LR: 4.99e-04 | Pat: 1/30
Epoch 011 | Loss: 0.5392 | Val [AP: 0.2486 | AUPRC: 0.2458 | AUROC: 0.5776 | F1: 0.1219 | ACCURACY: 0.1054] | Best AP: 0.2523 | LR: 4.99e-04 | Pat: 2/30
Epoch 012 | Loss: 0.5386 | Val [AP: 0.2475 | AUPRC: 0.2455 | AUROC: 0.5835 | F1: 0.1235 | ACCURACY: 0.1026] | Best AP: 0.2523 | LR: 4.98e-04 | Pat: 3/30
Epoch 013 | Loss: 0.5356 | Val [AP: 0.2547 | AUPRC: 0.2509 | AUROC: 0.5882 | F1: 0.1210 | ACCURACY: 0.0978] | Best AP: 0.2547 | LR: 4.98e-04 | Pat: 0/30
Epoch 014 | Loss: 0.5322 | Val [AP: 0.2544 | AUPRC: 0.2507 | AUROC: 0.5905 | F1: 0.1243 | ACCURACY: 0.0976] | Best AP: 0.2547 | LR: 4.97e-04 | Pat: 1/30
Epoch 015 | Loss: 0.5301 | Val [AP: 0.2611 | AUPRC: 0.2582 | AUROC: 0.5898 | F1: 0.1268 | ACCURACY: 0.1020] | Best AP: 0.2611 | LR: 4.97e-04 | Pat: 0/30
Epoch 016 | Loss: 0.5262 | Val [AP: 0.2621 | AUPRC: 0.2583 | AUROC: 0.5892 | F1: 0.1329 | ACCURACY: 0.1104] | Best AP: 0.2621 | LR: 4.96e-04 | Pat: 0/30
Epoch 017 | Loss: 0.5236 | Val [AP: 0.2643 | AUPRC: 0.2594 | AUROC: 0.5902 | F1: 0.1250 | ACCURACY: 0.1023] | Best AP: 0.2643 | LR: 4.95e-04 | Pat: 0/30
Epoch 018 | Loss: 0.5214 | Val [AP: 0.2772 | AUPRC: 0.2758 | AUROC: 0.5955 | F1: 0.1351 | ACCURACY: 0.1049] | Best AP: 0.2772 | LR: 4.95e-04 | Pat: 0/30
Epoch 019 | Loss: 0.5194 | Val [AP: 0.2723 | AUPRC: 0.2691 | AUROC: 0.6000 | F1: 0.1312 | ACCURACY: 0.1087] | Best AP: 0.2772 | LR: 4.94e-04 | Pat: 1/30
Epoch 020 | Loss: 0.5166 | Val [AP: 0.2739 | AUPRC: 0.2702 | AUROC: 0.5947 | F1: 0.1268 | ACCURACY: 0.1110] | Best AP: 0.2772 | LR: 4.93e-04 | Pat: 2/30
Epoch 021 | Loss: 0.5151 | Val [AP: 0.2725 | AUPRC: 0.2690 | AUROC: 0.5936 | F1: 0.1460 | ACCURACY: 0.1064] | Best AP: 0.2772 | LR: 4.92e-04 | Pat: 3/30
Epoch 022 | Loss: 0.5123 | Val [AP: 0.2855 | AUPRC: 0.2834 | AUROC: 0.6049 | F1: 0.1381 | ACCURACY: 0.1207] | Best AP: 0.2855 | LR: 4.91e-04 | Pat: 0/30
Epoch 023 | Loss: 0.5088 | Val [AP: 0.2897 | AUPRC: 0.2852 | AUROC: 0.6128 | F1: 0.1329 | ACCURACY: 0.1168] | Best AP: 0.2897 | LR: 4.90e-04 | Pat: 0/30
Epoch 024 | Loss: 0.5097 | Val [AP: 0.2822 | AUPRC: 0.2803 | AUROC: 0.6042 | F1: 0.1441 | ACCURACY: 0.1147] | Best AP: 0.2897 | LR: 4.88e-04 | Pat: 1/30
Epoch 025 | Loss: 0.5051 | Val [AP: 0.2914 | AUPRC: 0.2870 | AUROC: 0.6063 | F1: 0.1358 | ACCURACY: 0.1131] | Best AP: 0.2914 | LR: 4.87e-04 | Pat: 0/30
Epoch 026 | Loss: 0.5005 | Val [AP: 0.2978 | AUPRC: 0.2949 | AUROC: 0.6114 | F1: 0.1458 | ACCURACY: 0.1189] | Best AP: 0.2978 | LR: 4.86e-04 | Pat: 0/30
Epoch 027 | Loss: 0.4976 | Val [AP: 0.2942 | AUPRC: 0.2926 | AUROC: 0.6131 | F1: 0.1467 | ACCURACY: 0.1170] | Best AP: 0.2978 | LR: 4.84e-04 | Pat: 1/30
Epoch 028 | Loss: 0.4903 | Val [AP: 0.3051 | AUPRC: 0.3008 | AUROC: 0.6178 | F1: 0.1440 | ACCURACY: 0.1129] | Best AP: 0.3051 | LR: 4.83e-04 | Pat: 0/30
Epoch 029 | Loss: 0.4883 | Val [AP: 0.3202 | AUPRC: 0.3188 | AUROC: 0.6258 | F1: 0.1519 | ACCURACY: 0.1292] | Best AP: 0.3202 | LR: 4.82e-04 | Pat: 0/30
Epoch 030 | Loss: 0.4864 | Val [AP: 0.3094 | AUPRC: 0.3052 | AUROC: 0.6204 | F1: 0.1465 | ACCURACY: 0.1166] | Best AP: 0.3202 | LR: 4.80e-04 | Pat: 1/30
Epoch 031 | Loss: 0.4830 | Val [AP: 0.3273 | AUPRC: 0.3239 | AUROC: 0.6350 | F1: 0.1566 | ACCURACY: 0.1308] | Best AP: 0.3273 | LR: 4.78e-04 | Pat: 0/30
Epoch 032 | Loss: 0.4832 | Val [AP: 0.3419 | AUPRC: 0.3374 | AUROC: 0.6482 | F1: 0.1558 | ACCURACY: 0.1309] | Best AP: 0.3419 | LR: 4.77e-04 | Pat: 0/30
Epoch 033 | Loss: 0.4775 | Val [AP: 0.3331 | AUPRC: 0.3289 | AUROC: 0.6328 | F1: 0.1537 | ACCURACY: 0.1413] | Best AP: 0.3419 | LR: 4.75e-04 | Pat: 1/30
Epoch 034 | Loss: 0.4753 | Val [AP: 0.3390 | AUPRC: 0.3364 | AUROC: 0.6385 | F1: 0.1619 | ACCURACY: 0.1369] | Best AP: 0.3419 | LR: 4.73e-04 | Pat: 2/30
Epoch 035 | Loss: 0.4709 | Val [AP: 0.3493 | AUPRC: 0.3478 | AUROC: 0.6447 | F1: 0.1724 | ACCURACY: 0.1432] | Best AP: 0.3493 | LR: 4.71e-04 | Pat: 0/30
Epoch 036 | Loss: 0.4661 | Val [AP: 0.3561 | AUPRC: 0.3541 | AUROC: 0.6442 | F1: 0.1734 | ACCURACY: 0.1461] | Best AP: 0.3561 | LR: 4.70e-04 | Pat: 0/30
Epoch 037 | Loss: 0.4634 | Val [AP: 0.3635 | AUPRC: 0.3625 | AUROC: 0.6535 | F1: 0.1822 | ACCURACY: 0.1401] | Best AP: 0.3635 | LR: 4.68e-04 | Pat: 0/30
Epoch 038 | Loss: 0.4609 | Val [AP: 0.3591 | AUPRC: 0.3555 | AUROC: 0.6503 | F1: 0.1751 | ACCURACY: 0.1345] | Best AP: 0.3635 | LR: 4.66e-04 | Pat: 1/30
Epoch 039 | Loss: 0.4611 | Val [AP: 0.3699 | AUPRC: 0.3685 | AUROC: 0.6638 | F1: 0.1739 | ACCURACY: 0.1466] | Best AP: 0.3699 | LR: 4.63e-04 | Pat: 0/30
Epoch 040 | Loss: 0.4582 | Val [AP: 0.3844 | AUPRC: 0.3827 | AUROC: 0.6695 | F1: 0.1824 | ACCURACY: 0.1574] | Best AP: 0.3844 | LR: 4.61e-04 | Pat: 0/30
Epoch 041 | Loss: 0.4567 | Val [AP: 0.3890 | AUPRC: 0.3870 | AUROC: 0.6680 | F1: 0.1749 | ACCURACY: 0.1560] | Best AP: 0.3890 | LR: 4.59e-04 | Pat: 0/30
Epoch 042 | Loss: 0.4519 | Val [AP: 0.4051 | AUPRC: 0.4025 | AUROC: 0.6853 | F1: 0.1875 | ACCURACY: 0.1652] | Best AP: 0.4051 | LR: 4.57e-04 | Pat: 0/30
Epoch 043 | Loss: 0.4475 | Val [AP: 0.4021 | AUPRC: 0.3984 | AUROC: 0.6803 | F1: 0.1858 | ACCURACY: 0.1646] | Best AP: 0.4051 | LR: 4.55e-04 | Pat: 1/30
Epoch 044 | Loss: 0.4438 | Val [AP: 0.4102 | AUPRC: 0.4074 | AUROC: 0.6814 | F1: 0.1960 | ACCURACY: 0.1581] | Best AP: 0.4102 | LR: 4.52e-04 | Pat: 0/30
Epoch 045 | Loss: 0.4384 | Val [AP: 0.4335 | AUPRC: 0.4305 | AUROC: 0.7000 | F1: 0.2083 | ACCURACY: 0.1746] | Best AP: 0.4335 | LR: 4.50e-04 | Pat: 0/30
Epoch 046 | Loss: 0.4337 | Val [AP: 0.4268 | AUPRC: 0.4255 | AUROC: 0.6957 | F1: 0.1993 | ACCURACY: 0.1786] | Best AP: 0.4335 | LR: 4.48e-04 | Pat: 1/30
Epoch 047 | Loss: 0.4302 | Val [AP: 0.4292 | AUPRC: 0.4268 | AUROC: 0.6964 | F1: 0.2002 | ACCURACY: 0.1694] | Best AP: 0.4335 | LR: 4.45e-04 | Pat: 2/30
Epoch 048 | Loss: 0.4292 | Val [AP: 0.4437 | AUPRC: 0.4419 | AUROC: 0.7085 | F1: 0.2020 | ACCURACY: 0.1694] | Best AP: 0.4437 | LR: 4.42e-04 | Pat: 0/30
Epoch 049 | Loss: 0.4274 | Val [AP: 0.4495 | AUPRC: 0.4456 | AUROC: 0.7054 | F1: 0.2116 | ACCURACY: 0.1789] | Best AP: 0.4495 | LR: 4.40e-04 | Pat: 0/30
Epoch 050 | Loss: 0.4250 | Val [AP: 0.4626 | AUPRC: 0.4615 | AUROC: 0.7199 | F1: 0.2194 | ACCURACY: 0.1832] | Best AP: 0.4626 | LR: 4.37e-04 | Pat: 0/30
Epoch 051 | Loss: 0.4227 | Val [AP: 0.4691 | AUPRC: 0.4656 | AUROC: 0.7279 | F1: 0.2233 | ACCURACY: 0.1893] | Best AP: 0.4691 | LR: 4.35e-04 | Pat: 0/30
Epoch 052 | Loss: 0.4178 | Val [AP: 0.4723 | AUPRC: 0.4685 | AUROC: 0.7295 | F1: 0.2186 | ACCURACY: 0.1853] | Best AP: 0.4723 | LR: 4.32e-04 | Pat: 0/30
