Epoch 029 | Loss: 0.4871 | Val [AP: 0.3039 | AUPRC: 0.3021 | AUROC: 0.6157 | F1: 0.1468 | ACCURACY: 0.1162] | Best AP: 0.3039 | LR: 4.82e-04 | Pat: 0/30
Epoch 030 | Loss: 0.4851 | Val [AP: 0.3099 | AUPRC: 0.3067 | AUROC: 0.6210 | F1: 0.1336 | ACCURACY: 0.1226] | Best AP: 0.3099 | LR: 4.80e-04 | Pat: 0/30
Epoch 031 | Loss: 0.4809 | Val [AP: 0.2979 | AUPRC: 0.2935 | AUROC: 0.6101 | F1: 0.1417 | ACCURACY: 0.1127] | Best AP: 0.3099 | LR: 4.78e-04 | Pat: 1/30
Epoch 032 | Loss: 0.4773 | Val [AP: 0.3215 | AUPRC: 0.3195 | AUROC: 0.6299 | F1: 0.1499 | ACCURACY: 0.1284] | Best AP: 0.3215 | LR: 4.77e-04 | Pat: 0/30
Epoch 033 | Loss: 0.4756 | Val [AP: 0.3175 | AUPRC: 0.3162 | AUROC: 0.6235 | F1: 0.1451 | ACCURACY: 0.1252] | Best AP: 0.3215 | LR: 4.75e-04 | Pat: 1/30
Epoch 034 | Loss: 0.4719 | Val [AP: 0.3297 | AUPRC: 0.3261 | AUROC: 0.6288 | F1: 0.1623 | ACCURACY: 0.1301] | Best AP: 0.3297 | LR: 4.73e-04 | Pat: 0/30
Epoch 035 | Loss: 0.4710 | Val [AP: 0.3337 | AUPRC: 0.3306 | AUROC: 0.6393 | F1: 0.1582 | ACCURACY: 0.1436] | Best AP: 0.3337 | LR: 4.71e-04 | Pat: 0/30
Epoch 036 | Loss: 0.4685 | Val [AP: 0.3519 | AUPRC: 0.3477 | AUROC: 0.6465 | F1: 0.1628 | ACCURACY: 0.1463] | Best AP: 0.3519 | LR: 4.70e-04 | Pat: 0/30
Epoch 037 | Loss: 0.4642 | Val [AP: 0.3409 | AUPRC: 0.3384 | AUROC: 0.6403 | F1: 0.1642 | ACCURACY: 0.1384] | Best AP: 0.3519 | LR: 4.68e-04 | Pat: 1/30
Epoch 038 | Loss: 0.4614 | Val [AP: 0.3517 | AUPRC: 0.3501 | AUROC: 0.6487 | F1: 0.1680 | ACCURACY: 0.1421] | Best AP: 0.3519 | LR: 4.66e-04 | Pat: 2/30
Epoch 039 | Loss: 0.4570 | Val [AP: 0.3555 | AUPRC: 0.3513 | AUROC: 0.6503 | F1: 0.1689 | ACCURACY: 0.1431] | Best AP: 0.3555 | LR: 4.63e-04 | Pat: 0/30
Epoch 040 | Loss: 0.4527 | Val [AP: 0.3539 | AUPRC: 0.3520 | AUROC: 0.6505 | F1: 0.1675 | ACCURACY: 0.1466] | Best AP: 0.3555 | LR: 4.61e-04 | Pat: 1/30
Epoch 041 | Loss: 0.4510 | Val [AP: 0.3533 | AUPRC: 0.3515 | AUROC: 0.6516 | F1: 0.1717 | ACCURACY: 0.1446] | Best AP: 0.3555 | LR: 4.59e-04 | Pat: 2/30
Epoch 042 | Loss: 0.4474 | Val [AP: 0.3691 | AUPRC: 0.3680 | AUROC: 0.6650 | F1: 0.1666 | ACCURACY: 0.1452] | Best AP: 0.3691 | LR: 4.57e-04 | Pat: 0/30
Epoch 043 | Loss: 0.4438 | Val [AP: 0.3803 | AUPRC: 0.3753 | AUROC: 0.6703 | F1: 0.1871 | ACCURACY: 0.1559] | Best AP: 0.3803 | LR: 4.55e-04 | Pat: 0/30
Epoch 044 | Loss: 0.4417 | Val [AP: 0.3866 | AUPRC: 0.3829 | AUROC: 0.6722 | F1: 0.1833 | ACCURACY: 0.1462] | Best AP: 0.3866 | LR: 4.52e-04 | Pat: 0/30
Epoch 045 | Loss: 0.4375 | Val [AP: 0.3968 | AUPRC: 0.3930 | AUROC: 0.6755 | F1: 0.1857 | ACCURACY: 0.1613] | Best AP: 0.3968 | LR: 4.50e-04 | Pat: 0/30
Epoch 046 | Loss: 0.4332 | Val [AP: 0.4056 | AUPRC: 0.4022 | AUROC: 0.6839 | F1: 0.1958 | ACCURACY: 0.1680] | Best AP: 0.4056 | LR: 4.48e-04 | Pat: 0/30
Epoch 047 | Loss: 0.4306 | Val [AP: 0.3994 | AUPRC: 0.3970 | AUROC: 0.6803 | F1: 0.1870 | ACCURACY: 0.1657] | Best AP: 0.4056 | LR: 4.45e-04 | Pat: 1/30
Epoch 048 | Loss: 0.4275 | Val [AP: 0.4276 | AUPRC: 0.4240 | AUROC: 0.7031 | F1: 0.2066 | ACCURACY: 0.1739] | Best AP: 0.4276 | LR: 4.42e-04 | Pat: 0/30
Epoch 049 | Loss: 0.4245 | Val [AP: 0.4192 | AUPRC: 0.4157 | AUROC: 0.6913 | F1: 0.1983 | ACCURACY: 0.1628] | Best AP: 0.4276 | LR: 4.40e-04 | Pat: 1/30
Epoch 050 | Loss: 0.4226 | Val [AP: 0.4265 | AUPRC: 0.4216 | AUROC: 0.6909 | F1: 0.2074 | ACCURACY: 0.1685] | Best AP: 0.4276 | LR: 4.37e-04 | Pat: 2/30
Epoch 051 | Loss: 0.4204 | Val [AP: 0.4387 | AUPRC: 0.4373 | AUROC: 0.7034 | F1: 0.1997 | ACCURACY: 0.1792] | Best AP: 0.4387 | LR: 4.35e-04 | Pat: 0/30
Epoch 052 | Loss: 0.4173 | Val [AP: 0.4400 | AUPRC: 0.4379 | AUROC: 0.7044 | F1: 0.2012 | ACCURACY: 0.1798] | Best AP: 0.4400 | LR: 4.32e-04 | Pat: 0/30
Epoch 053 | Loss: 0.4124 | Val [AP: 0.4384 | AUPRC: 0.4364 | AUROC: 0.6983 | F1: 0.2056 | ACCURACY: 0.1756] | Best AP: 0.4400 | LR: 4.29e-04 | Pat: 1/30
Epoch 054 | Loss: 0.4084 | Val [AP: 0.4567 | AUPRC: 0.4541 | AUROC: 0.7157 | F1: 0.2129 | ACCURACY: 0.1878] | Best AP: 0.4567 | LR: 4.26e-04 | Pat: 0/30
Epoch 055 | Loss: 0.4032 | Val [AP: 0.4712 | AUPRC: 0.4675 | AUROC: 0.7254 | F1: 0.2242 | ACCURACY: 0.1930] | Best AP: 0.4712 | LR: 4.23e-04 | Pat: 0/30
Epoch 056 | Loss: 0.3987 | Val [AP: 0.4706 | AUPRC: 0.4693 | AUROC: 0.7267 | F1: 0.2229 | ACCURACY: 0.1894] | Best AP: 0.4712 | LR: 4.20e-04 | Pat: 1/30
Epoch 057 | Loss: 0.3970 | Val [AP: 0.4882 | AUPRC: 0.4857 | AUROC: 0.7359 | F1: 0.2338 | ACCURACY: 0.1957] | Best AP: 0.4882 | LR: 4.17e-04 | Pat: 0/30
Epoch 058 | Loss: 0.3938 | Val [AP: 0.4996 | AUPRC: 0.4950 | AUROC: 0.7461 | F1: 0.2333 | ACCURACY: 0.2021] | Best AP: 0.4996 | LR: 4.14e-04 | Pat: 0/30
Epoch 059 | Loss: 0.3913 | Val [AP: 0.4981 | AUPRC: 0.4961 | AUROC: 0.7407 | F1: 0.2282 | ACCURACY: 0.1933] | Best AP: 0.4996 | LR: 4.11e-04 | Pat: 1/30
Epoch 060 | Loss: 0.3888 | Val [AP: 0.5055 | AUPRC: 0.5036 | AUROC: 0.7491 | F1: 0.2389 | ACCURACY: 0.2059] | Best AP: 0.5055 | LR: 4.08e-04 | Pat: 0/30
Epoch 061 | Loss: 0.3846 | Val [AP: 0.5003 | AUPRC: 0.4968 | AUROC: 0.7470 | F1: 0.2428 | ACCURACY: 0.2005] | Best AP: 0.5055 | LR: 4.05e-04 | Pat: 1/30
Epoch 062 | Loss: 0.3834 | Val [AP: 0.5081 | AUPRC: 0.5067 | AUROC: 0.7494 | F1: 0.2347 | ACCURACY: 0.2062] | Best AP: 0.5081 | LR: 4.02e-04 | Pat: 0/30
Epoch 063 | Loss: 0.3809 | Val [AP: 0.5230 | AUPRC: 0.5219 | AUROC: 0.7572 | F1: 0.2506 | ACCURACY: 0.2172] | Best AP: 0.5230 | LR: 3.99e-04 | Pat: 0/30
Epoch 064 | Loss: 0.3754 | Val [AP: 0.5196 | AUPRC: 0.5157 | AUROC: 0.7556 | F1: 0.2454 | ACCURACY: 0.2063] | Best AP: 0.5230 | LR: 3.96e-04 | Pat: 1/30
Epoch 065 | Loss: 0.3724 | Val [AP: 0.5248 | AUPRC: 0.5225 | AUROC: 0.7642 | F1: 0.2450 | ACCURACY: 0.2114] | Best AP: 0.5248 | LR: 3.92e-04 | Pat: 0/30
Epoch 066 | Loss: 0.3674 | Val [AP: 0.5283 | AUPRC: 0.5272 | AUROC: 0.7680 | F1: 0.2573 | ACCURACY: 0.2126] | Best AP: 0.5283 | LR: 3.89e-04 | Pat: 0/30
Epoch 067 | Loss: 0.3634 | Val [AP: 0.5363 | AUPRC: 0.5352 | AUROC: 0.7702 | F1: 0.2557 | ACCURACY: 0.2221] | Best AP: 0.5363 | LR: 3.86e-04 | Pat: 0/30
Epoch 068 | Loss: 0.3604 | Val [AP: 0.5574 | AUPRC: 0.5529 | AUROC: 0.7874 | F1: 0.2604 | ACCURACY: 0.2164] | Best AP: 0.5574 | LR: 3.82e-04 | Pat: 0/30
Epoch 069 | Loss: 0.3568 | Val [AP: 0.5640 | AUPRC: 0.5599 | AUROC: 0.7866 | F1: 0.2738 | ACCURACY: 0.2284] | Best AP: 0.5640 | LR: 3.79e-04 | Pat: 0/30
Epoch 070 | Loss: 0.3539 | Val [AP: 0.5496 | AUPRC: 0.5450 | AUROC: 0.7798 | F1: 0.2470 | ACCURACY: 0.2240] | Best AP: 0.5640 | LR: 3.75e-04 | Pat: 1/30
Epoch 071 | Loss: 0.3509 | Val [AP: 0.5632 | AUPRC: 0.5604 | AUROC: 0.7858 | F1: 0.2608 | ACCURACY: 0.2247] | Best AP: 0.5640 | LR: 3.72e-04 | Pat: 2/30
Epoch 072 | Loss: 0.3486 | Val [AP: 0.5647 | AUPRC: 0.5615 | AUROC: 0.7901 | F1: 0.2649 | ACCURACY: 0.2253] | Best AP: 0.5647 | LR: 3.68e-04 | Pat: 0/30
Epoch 073 | Loss: 0.3451 | Val [AP: 0.5743 | AUPRC: 0.5731 | AUROC: 0.7947 | F1: 0.2658 | ACCURACY: 0.2298] | Best AP: 0.5743 | LR: 3.65e-04 | Pat: 0/30
Epoch 074 | Loss: 0.3421 | Val [AP: 0.5744 | AUPRC: 0.5715 | AUROC: 0.7922 | F1: 0.2604 | ACCURACY: 0.2296] | Best AP: 0.5744 | LR: 3.61e-04 | Pat: 0/30
Epoch 075 | Loss: 0.3386 | Val [AP: 0.5809 | AUPRC: 0.5776 | AUROC: 0.7973 | F1: 0.2723 | ACCURACY: 0.2327] | Best AP: 0.5809 | LR: 3.57e-04 | Pat: 0/30
Epoch 076 | Loss: 0.3358 | Val [AP: 0.5916 | AUPRC: 0.5875 | AUROC: 0.8101 | F1: 0.2718 | ACCURACY: 0.2379] | Best AP: 0.5916 | LR: 3.54e-04 | Pat: 0/30
Epoch 077 | Loss: 0.3326 | Val [AP: 0.5948 | AUPRC: 0.5900 | AUROC: 0.8086 | F1: 0.2838 | ACCURACY: 0.2373] | Best AP: 0.5948 | LR: 3.50e-04 | Pat: 0/30
Epoch 078 | Loss: 0.3291 | Val [AP: 0.5969 | AUPRC: 0.5947 | AUROC: 0.8038 | F1: 0.2714 | ACCURACY: 0.2373] | Best AP: 0.5969 | LR: 3.46e-04 | Pat: 0/30
