Epoch 001 | Loss: 0.5526 | Val [AP: 0.2344 | AUPRC: 0.2331 | AUROC: 0.5713 | F1: 0.1101 | ACCURACY: 0.1002] | Best AP: 0.2344 | LR: 1.04e-04 | Pat: 0/30
Epoch 002 | Loss: 0.5610 | Val [AP: 0.2333 | AUPRC: 0.2288 | AUROC: 0.5728 | F1: 0.1137 | ACCURACY: 0.0903] | Best AP: 0.2344 | LR: 2.03e-04 | Pat: 1/30
Epoch 003 | Loss: 0.5615 | Val [AP: 0.2357 | AUPRC: 0.2323 | AUROC: 0.5796 | F1: 0.1104 | ACCURACY: 0.0951] | Best AP: 0.2357 | LR: 3.02e-04 | Pat: 0/30
Epoch 004 | Loss: 0.5577 | Val [AP: 0.2289 | AUPRC: 0.2264 | AUROC: 0.5662 | F1: 0.1184 | ACCURACY: 0.0850] | Best AP: 0.2357 | LR: 4.01e-04 | Pat: 1/30
Epoch 005 | Loss: 0.5570 | Val [AP: 0.2306 | AUPRC: 0.2259 | AUROC: 0.5723 | F1: 0.1062 | ACCURACY: 0.0943] | Best AP: 0.2357 | LR: 5.00e-04 | Pat: 2/30
Epoch 006 | Loss: 0.5553 | Val [AP: 0.2390 | AUPRC: 0.2368 | AUROC: 0.5759 | F1: 0.1104 | ACCURACY: 0.1007] | Best AP: 0.2390 | LR: 5.00e-04 | Pat: 0/30
Epoch 007 | Loss: 0.5505 | Val [AP: 0.2405 | AUPRC: 0.2367 | AUROC: 0.5787 | F1: 0.1152 | ACCURACY: 0.0954] | Best AP: 0.2405 | LR: 5.00e-04 | Pat: 0/30
Epoch 008 | Loss: 0.5478 | Val [AP: 0.2392 | AUPRC: 0.2381 | AUROC: 0.5733 | F1: 0.1118 | ACCURACY: 0.0914] | Best AP: 0.2405 | LR: 5.00e-04 | Pat: 1/30
Epoch 009 | Loss: 0.5438 | Val [AP: 0.2417 | AUPRC: 0.2387 | AUROC: 0.5808 | F1: 0.1256 | ACCURACY: 0.0982] | Best AP: 0.2417 | LR: 4.99e-04 | Pat: 0/30
Epoch 010 | Loss: 0.5379 | Val [AP: 0.2448 | AUPRC: 0.2406 | AUROC: 0.5808 | F1: 0.1186 | ACCURACY: 0.0998] | Best AP: 0.2448 | LR: 4.99e-04 | Pat: 0/30
Epoch 011 | Loss: 0.5367 | Val [AP: 0.2418 | AUPRC: 0.2399 | AUROC: 0.5763 | F1: 0.1151 | ACCURACY: 0.0977] | Best AP: 0.2448 | LR: 4.99e-04 | Pat: 1/30
Epoch 012 | Loss: 0.5349 | Val [AP: 0.2467 | AUPRC: 0.2434 | AUROC: 0.5830 | F1: 0.1249 | ACCURACY: 0.1041] | Best AP: 0.2467 | LR: 4.98e-04 | Pat: 0/30
Epoch 013 | Loss: 0.5345 | Val [AP: 0.2439 | AUPRC: 0.2413 | AUROC: 0.5790 | F1: 0.1155 | ACCURACY: 0.0919] | Best AP: 0.2467 | LR: 4.98e-04 | Pat: 1/30
Epoch 014 | Loss: 0.5312 | Val [AP: 0.2416 | AUPRC: 0.2393 | AUROC: 0.5848 | F1: 0.1172 | ACCURACY: 0.0942] | Best AP: 0.2467 | LR: 4.97e-04 | Pat: 2/30
Epoch 015 | Loss: 0.5265 | Val [AP: 0.2418 | AUPRC: 0.2395 | AUROC: 0.5816 | F1: 0.1259 | ACCURACY: 0.0958] | Best AP: 0.2467 | LR: 4.97e-04 | Pat: 3/30
Epoch 016 | Loss: 0.5220 | Val [AP: 0.2537 | AUPRC: 0.2495 | AUROC: 0.5885 | F1: 0.1243 | ACCURACY: 0.1027] | Best AP: 0.2537 | LR: 4.96e-04 | Pat: 0/30
Epoch 017 | Loss: 0.5198 | Val [AP: 0.2530 | AUPRC: 0.2514 | AUROC: 0.5845 | F1: 0.1242 | ACCURACY: 0.1007] | Best AP: 0.2537 | LR: 4.95e-04 | Pat: 1/30
Epoch 018 | Loss: 0.5206 | Val [AP: 0.2510 | AUPRC: 0.2476 | AUROC: 0.5822 | F1: 0.1288 | ACCURACY: 0.1057] | Best AP: 0.2537 | LR: 4.95e-04 | Pat: 2/30
Epoch 019 | Loss: 0.5190 | Val [AP: 0.2536 | AUPRC: 0.2488 | AUROC: 0.5864 | F1: 0.1294 | ACCURACY: 0.1064] | Best AP: 0.2537 | LR: 4.94e-04 | Pat: 3/30
Epoch 020 | Loss: 0.5153 | Val [AP: 0.2534 | AUPRC: 0.2520 | AUROC: 0.5855 | F1: 0.1282 | ACCURACY: 0.1019] | Best AP: 0.2537 | LR: 4.93e-04 | Pat: 4/30
Epoch 021 | Loss: 0.5126 | Val [AP: 0.2550 | AUPRC: 0.2500 | AUROC: 0.5808 | F1: 0.1231 | ACCURACY: 0.0982] | Best AP: 0.2550 | LR: 4.92e-04 | Pat: 0/30
Epoch 022 | Loss: 0.5079 | Val [AP: 0.2544 | AUPRC: 0.2504 | AUROC: 0.5847 | F1: 0.1297 | ACCURACY: 0.0956] | Best AP: 0.2550 | LR: 4.91e-04 | Pat: 1/30
Epoch 023 | Loss: 0.5047 | Val [AP: 0.2673 | AUPRC: 0.2632 | AUROC: 0.5958 | F1: 0.1258 | ACCURACY: 0.1123] | Best AP: 0.2673 | LR: 4.90e-04 | Pat: 0/30
Epoch 024 | Loss: 0.5031 | Val [AP: 0.2673 | AUPRC: 0.2662 | AUROC: 0.5940 | F1: 0.1290 | ACCURACY: 0.1105] | Best AP: 0.2673 | LR: 4.88e-04 | Pat: 0/30
Epoch 025 | Loss: 0.4995 | Val [AP: 0.2685 | AUPRC: 0.2668 | AUROC: 0.5974 | F1: 0.1387 | ACCURACY: 0.1001] | Best AP: 0.2685 | LR: 4.87e-04 | Pat: 0/30
Epoch 026 | Loss: 0.4986 | Val [AP: 0.2703 | AUPRC: 0.2684 | AUROC: 0.5941 | F1: 0.1237 | ACCURACY: 0.1172] | Best AP: 0.2703 | LR: 4.86e-04 | Pat: 0/30
